,Date,Spenditure,Deflactor,Spenditure_real
0,2012-01-01,243185.7,1.2764374209234413,310411.3277134617
1,2012-02-01,479040.1,1.2738478028025473,610224.1788393125
2,2012-03-01,709299.9,1.2731167985752976,903021.6179177788
3,2012-04-01,922097.4,1.2771232297799542,1177632.0096596985
4,2012-05-01,1121847.7,1.2811672874635784,1437274.5747562542
5,2012-06-01,1441958.1,1.2752878958630929,1838911.7112717433
6,2012-07-01,1684684.7,1.2681681338331443,2136463.4520962504
7,2012-08-01,1880232.0,1.2643737117067084,2377315.912709728
8,2012-09-01,2073910.6,1.2588256432643663,2610691.845117788
9,2012-10-01,2298858.2,1.2524887559036852,2879294.0469169854
10,2012-11-01,2546146.6,1.2440373832487244,3167501.553631637
11,2012-12-01,2865638.1,1.2411838204349142,3556783.6449418487
12,2013-01-01,239374.3,1.2362042385348537,295915.5242563136
13,2013-02-01,446284.1,1.2301493419372005,548996.0919320357
14,2013-03-01,661215.8,1.2211886020292466,807469.19844165
15,2013-04-01,879444.9,1.220382492590805,1073259.1591582713
16,2013-05-01,1093810.0,1.2244575066240726,1339323.865320477
17,2013-06-01,1439842.0,1.2252013439008596,1764096.3534049015
18,2013-07-01,1692991.0,1.2256074542692548,2074942.38961076
19,2013-08-01,1899984.5,1.2221304099603376,2322028.835903287
20,2013-09-01,2160685.1,1.2175471974817118,2630736.088145492
21,2013-10-01,2409769.0,1.211783555463535,2920118.446665807
22,2013-11-01,2634242.3,1.2005916732832915,3162649.3707906264
23,2013-12-01,3096606.6,1.1937439465766733,3696555.383679374
24,2014-01-01,275234.4,1.1831651925978903,325647.76188556483
25,2014-02-01,538037.8,1.1801755474871896,634979.0551838031
26,2014-03-01,760797.9,1.176951166612704,895421.9759614953
27,2014-04-01,1023670.6,1.179151016986652,1207062.2290493362
28,2014-05-01,1278471.2,1.182933873665477,1512346.8889857507
29,2014-06-01,1652306.8,1.1808874931235387,1951188.4349229762
30,2014-07-01,1955254.2,1.1776488074403981,2302602.7768728295
31,2014-08-01,2189217.9,1.1734339463260663,2568902.5997646637
32,2014-09-01,2459133.9,1.1682742520703797,2872942.8177634156
33,2014-10-01,2729634.1,1.1618500641326945,3171425.55414379
34,2014-11-01,3001118.3,1.1525547003016872,3458953.0028264085
35,2014-12-01,3375335.6,1.1469338871136614,3871286.7800211227
36,2015-01-01,340847.1,1.1479724718501787,391283.087909965
37,2015-02-01,612118.9,1.1457985435118339,701364.9440760659
38,2015-03-01,885780.8,1.1411523656871543,1010810.8554002601
39,2015-04-01,1159861.2,1.1441144870206674,1327014.0018531757
40,2015-05-01,1437480.1,1.149856604780644,1652895.9872257407
41,2015-06-01,1845595.9,1.1479328722320856,2118620.2024667608
42,2015-07-01,2128826.0,1.1462524111430932,2440171.9354041065
43,2015-08-01,2386131.6,1.1438392067279093,2729350.876492397
44,2015-09-01,2650501.5,1.1395697248779957,3020431.265143715
45,2015-10-01,2930226.5,1.1337364790658364,3322104.674975409
46,2015-11-01,3249884.5,1.1275804524740136,3664506.2349982834
47,2015-12-01,3729102.3,1.1230047581761016,4187799.626625444
48,2016-01-01,351453.5,1.11873865397562,393184.6155250205
49,2016-02-01,610265.3,1.1138613446720924,679750.9276647179
50,2016-03-01,874187.9,1.1122233270233122,972292.1745815226
51,2016-04-01,1207253.6,1.1157566512053694,1347001.2338916266
52,2016-05-01,1567398.7,1.1207543992603706,1756668.9884199856
53,2016-06-01,1963679.1,1.1195196002932957,2198377.2411362985
54,2016-07-01,2252915.0,1.1166083666530535,2515623.738358164
55,2016-08-01,2672904.9,1.1134700160216053,2976199.4618272274
56,2016-09-01,2955425.4,1.106712006510552,3270804.7745262505
57,2016-10-01,3232137.5,1.1000355350859103,3555466.1042837366
58,2016-11-01,3537717.5,1.091502464115821,3861427.368595662
59,2016-12-01,4180122.2,1.086495531133058,4541684.089890087
60,2017-01-01,347962.0,1.0683317549792861,371738.85412610235
61,2017-02-01,633433.4,1.0621937789737692,672829.0168742031
